TPR,FPR
0.92,0.08
1,0
1,0
0.64,0.36
1,0
0.72,0.28
0.92,0.08
1,0
1,0
1,0
0.96,0.04
1,0
0.72,0.28
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0.96,0.04
0.76,0.24
0.92,0.08
0.96,0.04
0.96,0.04
0.52,0.48
0.52,0.48
0.96,0.04
0.96,0.04
0.52,0.48
1,0
0.88,0.12
1,0
0.96,0.04
0.76,0.24
1,0
0.76,0.24
0.96,0.04
0.96,0.04
0.96,0.04
0.92,0.08
0.92,0.08
0.72,0.28
0.92,0.08
0.92,0.08
0.92,0.08
0.92,0.08
0.92,0.08
0.92,0.08
0.92,0.08
0.68,0.32
1,0
1,0
0.96,0.04
0.96,0.04
0.68,0.32
0.92,0.08
0.96,0.04
0.96,0.04
0.68,0.32
1,0
0.72,0.28
0.72,0.28
1,0
1,0
1,0
1,0
1,0
1,0
0.72,0.28
